链接,标题,评论数,价格,销量,图片链接,品牌,适用年龄,尺码,面料,图案,风格,通勤,领子,衣门襟,颜色分类,袖型,组合形式,货号,成分含量,上市年份/季节,袖长,款式,厚薄,衣长,服装版型
https://item.taobao.com/item.htm?id=603197543849,小虫头牌爆品全成型无缝针织五色羊毛针织套头衫烟囱领五分袖女秋,24,298.00 ,462,"https://img.alicdn.com/imgextra/i1/12375520/O1CN01Ux13kk1qeCqL7UbQc_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01icJBxr1qeCqJavOJv_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01AfDF6w1qeCqHhYfrD_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01eUrhBv1qeCqKLjXuo_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01mTtVrS1qeCmdspiv9_!!12375520.jpg",小虫,30-34周岁,S M L XL,羊毛,纯色,通勤,简约,高领,套头,经典黑 现货 烟灰色 现货 焦糖色 预售10月20日 奶油杏仁色 预售10月20日 经典黑 预售10月20日 烟熏玫瑰红 预售10月20日 烟灰色 预售10月20日,常规,,TE9CMZ060,95%以上,2019年秋季,五分袖,套头,常规,常规款,修身
https://item.taobao.com/item.htm?id=595391233494,小虫 细心呵护衣物！温和桑蚕丝羊绒专业保养洗涤剂洗衣液270ml,1241,99.00 ,421,"//gd2.alicdn.com/imgextra/i3/12375520/O1CN01I8eCDr1qeCodMS2hM_!!12375520.jpg
//gd4.alicdn.com/imgextra/i4/12375520/O1CN01WNLiRk1qeCobnSaCE_!!12375520.jpg
//gd1.alicdn.com/imgextra/i1/12375520/O1CN01q5BQtr1qeCocDwpmz_!!12375520.jpg
//gd2.alicdn.com/imgextra/i2/12375520/O1CN01aJkHZ21qeCoUkVQMh_!!12375520.jpg
//gd3.alicdn.com/imgextra/i3/12375520/O1CN01Qvf47M1qeCoZIMVV0_!!12375520.jpg",other/其他,,,,,其他,,,,透明色 透明色 预售10月22日,,,TE9XAA001,,,,,,,
https://item.taobao.com/item.htm?id=602218282785,小虫 时髦杂志风复古英伦百搭羊毛羊绒针织画家贝雷帽INS网红现货,93,188.00 ,401,"https://img.alicdn.com/bao/uploaded/i4/12375520/O1CN019s21Nl1qeCqC5ts40_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01IGWX531qeCqCZQ1qL_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01ruanVJ1qeCqA8gEN8_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01GkUj8u1qeCq1e2qxP_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01Zak2h51qeCqAMlBNG_!!12375520.jpg",other/其他,30-34周岁,均码,,,优雅,,,,大红色 现货 黑色 预售10月10日,,,TE9QAA008,,,,贝雷帽,,,
https://item.taobao.com/item.htm?id=602013017736,小虫 V*GUE杂志新宠奶奶衫夹花纱羊绒修身中袖短款针织外套开衫女,116,368.00 ,389,"https://img.alicdn.com/bao/uploaded/i3/12375520/O1CN01POge5J1qeCqBiMMZM_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01zqBC6Z1qeCqAKMDUO_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01kbj57I1qeCq5iR8kQ_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01xfUkkf1qeCqBa1yLz_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01VXkg8Q1qeCq7dhwCG_!!12375520.jpg",小虫,30-34周岁,S M L XL,羊绒,纯色,通勤,简约,低圆领,单排扣,珊瑚橘 现货 五彩缤纷 现货 经典黑  现货,灯笼袖,,TE9QMZ275,95%以上,2019年秋季,长袖,开衫,常规,常规款,
https://item.taobao.com/item.htm?id=601766900160,小虫尝鲜换季仪式日本Burbe*ry面料系带中长款双排扣风衣女秋冬,70,1398.00 ,353,"https://img.alicdn.com/bao/uploaded/i3/12375520/O1CN01RatgAv1qeCq8p1Z0g_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01WAcCnt1qeCq9JKU3r_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN0153UBAQ1qeCqAUVQlK_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01ZchVFu1qeCq5NDNhj_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01koVZHr1qeCpsI07hh_!!12375520.jpg",小虫,30-34周岁,S M L XL,,纯色,通勤,,POLO领,双排扣,卡其 预售11月18日,其他,,TE9QFY007,96%及以上,2019年秋季,长袖,,常规,中长款,直筒
https://item.taobao.com/item.htm?id=603354868887,RED虫 BU*BERRY格纹全棉衬衫 英伦GUI族专属格纹,37,499.00 ,331,"https://img.alicdn.com/imgextra/i3/12375520/O1CN01awhPMc1qeCqP2U6vL_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01DWXv801qeCqQIXyUt_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01WM1Ryq1qeCqOzU5I2_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN014eMUdr1qeCqSgkPJb_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN012OzhUw1qeCptzQzfc_!!12375520.jpg",小虫,30-34周岁,S M L XL,,格子,通勤,简约,,套头,英伦撞色格纹 现货,衬衫袖,,TE9QCS071,96%及以上,2019年秋季,长袖,,,常规款,直筒
https://item.taobao.com/item.htm?id=601468625249,小虫新澳羊毛16针双面平纹针织宽松休闲萝卜裤显腿长女2019秋冬,104,698.00 ,321,"https://img.alicdn.com/bao/uploaded/i1/12375520/O1CN01wpwfnQ1qeCq75GJkN_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01DiWcRN1qeCqBjenuG_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01B6J8N01qeCq1XBgv6_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01icmmFc1qeCq9Ic0IF_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01jQI8Yl1qeCpwRjuVF_!!12375520.jpg",小虫,30-34周岁,,,,通勤,简约,,,灰色 现货 杏色 现货,,,TE9QKZ097,91%(含)-95%(含),2019年秋季,,,常规,,
https://item.taobao.com/item.htm?id=602411511254,小虫 时髦凹造型 羊毛羊绒保暖针织毛线帽+手套女INS百搭秋冬现货,77,128.00 ,320,"//gd2.alicdn.com/imgextra/i4/12375520/O1CN01FmLdOX1qeCq7f74is_!!12375520.jpg
//gd2.alicdn.com/imgextra/i2/12375520/O1CN01fgKdla1qeCqFwkFHt_!!12375520.jpg
//gd4.alicdn.com/imgextra/i4/12375520/O1CN01mXEnvx1qeCq1u19b6_!!12375520.jpg
//gd4.alicdn.com/imgextra/i4/12375520/O1CN01VaqTeQ1qeCqAOSZub_!!12375520.jpg
//gd3.alicdn.com/imgextra/i3/12375520/O1CN01OREKSv1qeCq98Agxq_!!12375520.jpg",other/其他,,均码,,,优雅,,,,黑色 现货（帽子） 大红色 现货（帽子） 中灰 现货（帽子） 黑色 现货（手套） 大红色 现货（手套） 中花灰 现货（手套）,,,TE9QAA009 TE9QAA011,,,,其他,,,
https://item.taobao.com/item.htm?id=600553413351,RED虫 显瘦慵懒减龄两色ALL IN宽松百搭个性卫衣,240,269.00 ,318,"https://img.alicdn.com/imgextra/i4/12375520/O1CN01Ti1len1qeCq6OF7Jf_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01YdVyia1qeCq2RAlLm_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01p7gdaL1qeCq3s8sBL_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN016oPR3o1qeCq4MPoxj_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN019QlS5l1qeCpLSuw33_!!12375520.jpg",小虫,30-34周岁,S M L XL,,,通勤,简约,圆领,,大红色 现货 蜜桃粉 现货,其他,单件,TE9QWY017,96%及以上,2019年秋季,长袖,套头,常规,常规,直筒
https://item.taobao.com/item.htm?id=597074579410,小虫 可娘可man！莱赛尔连帽休闲套头牛仔衫长袖宽松短款2019,442,299.00 ,306,"https://img.alicdn.com/imgextra/i2/12375520/O1CN01tLMxLC1qeCoxroVzU_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01DAgNre1qeCovJhj0T_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01TkBaQ71qeCovJhag2_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01facWcU1qeCouNI19y_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01i0v6H61qeCooQxNUK_!!12375520.jpg",other/其他,30-34周岁,S M L XL,,其他,通勤,简约,,套头,牛仔浅蓝    现货 牛仔深蓝  预售10月25日,衬衫袖,,JE9QCS003 TE9DCS008,96%及以上,2019年夏季,长袖,,,常规款,
https://item.taobao.com/item.htm?id=601573333249,小虫 up联名系列刺绣锥型牛仔裤 掉入童趣王国,71,498.00 ,306,"https://img.alicdn.com/imgextra/i4/12375520/O1CN01wZdvk31qeCqAojCCr_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01Ro848a1qeCqAoi7gy_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN011DDllS1qeCq84SszH_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01oh1cci1qeCq9rK3HB_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01UomL0d1qeCq3y5WPG_!!12375520.jpg",小虫,30-34周岁,,,,,,,,牛仔蓝 现货 牛仔蓝 预售10月31日,,,TE9QNZ073,96%及以上,2019年秋季,,直筒裤,常规,,
https://item.taobao.com/item.htm?id=603078814337,小虫会呼吸的全羊绒针织婴儿肌肤触感坑条法式小高领针织套头衫,33,698.00 ,300,"https://img.alicdn.com/imgextra/i1/12375520/O1CN010y7lQp1qeCqJ0R3qU_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01uqnT8u1qeCqKKdVkR_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01fnWQme1qeCqKuNTeH_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01MYRQth1qeCqKKezFZ_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN017JE1PY1qeCpWNyADt_!!12375520.jpg",小虫,30-34周岁,S M L XL,羊绒,纯色,通勤,简约,高领,套头,嫩草绿 现货 雾霾蓝 现货 柔瑰粉 现货 奶油白 现货,插肩袖,单件,TE9QMZ092,95%以上,2019年秋季,长袖,套头,常规,常规款,修身
https://item.taobao.com/item.htm?id=602450203395,小虫 柔软野生鹿皮百搭INS时髦粗跟高跟短筒羊皮靴子2019秋冬新款,39,699.00 ,294,"https://img.alicdn.com/imgextra/i4/12375520/O1CN01ZMlpeV1qeCqEQotnL_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01TJwABV1qeCq6EEL6V_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01B5WBm41qeCq1e233P_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN015hhZqB1qeCqAq42o2_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01EuR8a61qeCq9G4tGy_!!12375520.jpg",other/其他,,35 36 37 38 39,,,,,,,黑色 现货 棕色 现货 黑色 预售10月17日 米色 预售10月17日 黑色 预售10月31日 米色 预售10月31日 棕色 预售10月31日,,,TD9QXX002,,2019年秋季,,,,,
https://item.taobao.com/item.htm?id=600467238377,小虫澳洲美利奴羊毛衣针织衫女长袖套头打底上衣2019秋冬季新款薄,346,398.00 ,286,"https://img.alicdn.com/imgextra/i4/12375520/O1CN01ANj07K1qeCprvdtvg_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01W8WWyc1qeCpqZjRqR_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN016bQnxB1qeCpoP5CIj_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01a2INyg1qeCppq8wOg_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01FbqiIh1qeCpiss6qr_!!12375520.jpg",小虫,30-34周岁,S M L,羊毛,纯色,通勤,简约,低圆领,套头,小鸡黄  现货 熔岩红 现货 牛油果绿 现货 黑色 现货,常规,单件,TE9DMZ048,95%以上,2019年秋季,长袖,套头,常规,短款,修身
https://item.taobao.com/item.htm?id=602094876801,小虫 慵懒法式精緻 复古奶奶衫柔软羊毛羊绒针织开衫外套女短秋冬,28,398.00 ,282,"https://img.alicdn.com/imgextra/i2/12375520/O1CN01V0zbwm1qeCqPUukKA_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01PkmMlJ1qeCqNHFPoF_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01rcnvYD1qeCqKdXHKU_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01PC4otP1qeCqL6Dfkk_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01V4JeD41qeCqF4PyrA_!!12375520.jpg",小虫,30-34周岁,S M L XL,羊毛,纯色,通勤,简约,其他,单排扣,中花灰 预售10月30日 天使白 预售10月30日,常规,单件,TE9QMZ278,51%(含)-70%(含),2019年秋季,长袖,开衫,常规,短款,修身
https://item.taobao.com/item.htm?id=602265486646,小虫升级质感！早秋小确幸温柔低调内敛光丝羊毛四色针织打底背心,43,268.00 ,281,"https://img.alicdn.com/bao/uploaded/i4/12375520/O1CN01Ss0gOY1qeCqB0RzI0_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01OPOfqG1qeCq8Bywe7_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN0197Bhdo1qeCq6tSQOF_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01WtLRa41qeCq8jZS0S_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01oZePG01qeCq9BqtJW_!!12375520.jpg",小虫,30-34周岁,S M L XL,,纯色,百搭,,,,黑色 现货 暖柔沙色 现货 淡雾粉 现货 绿色 现货,,单件,TE9QDD002,71%(含)-80%(含),2019年秋季,,吊带,,常规,修身
https://item.taobao.com/item.htm?id=43147320638,[BCJ]补差价,0,100.00 ,280,//gd1.alicdn.com/imgextra/i4/0/TB1AzWgJXXXXXXPXFXXXXXXXXXX_!!0-item_pic.jpg,,,,,,,,,,,,,,,,,,,,
https://item.taobao.com/item.htm?id=601771456682,小虫 韩剧女主明星人手出街BI备羊毛羊绒时髦凹造型发带现货,82,128.00 ,276,"https://img.alicdn.com/bao/uploaded/i3/12375520/O1CN013XkTRi1qeCq1di2cC_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01CGh9Yy1qeCq7BoLd5_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN01oVNs4C1qeCq6Dtrbc_!!12375520.jpg
https://img.alicdn.com/imgextra/i2/12375520/O1CN01tr9QEm1qeCq0tTwTp_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01j1TInO1qeCqApJOJz_!!12375520.jpg",other/其他,,,,其他,日韩,,,,黑色 现货 浅粉 现货 大红色 现货 中花灰 现货 玫粉 现货 花驼 现货,,,TE9QAA012,,,,,,,
https://item.taobao.com/item.htm?id=601305768146,小虫 up联名系列OVERSIZED漫画印花全世界都爱的纯棉圆领卫衣,67,558.00 ,273,"https://img.alicdn.com/imgextra/i3/12375520/O1CN01HNrHLO1qeCqCof8yz_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01I4wSOL1qeCq8xCwky_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01wJrFO61qeCqHru9gp_!!12375520.jpg
https://img.alicdn.com/imgextra/i3/12375520/O1CN019zc2je1qeCqHrtHdZ_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN016bLkoR1qeCq2tgQmD_!!12375520.jpg",小虫,30-34周岁,S M L,,人物,街头,,圆领,,黑色 现货 绿色 现货,插肩袖,单件,TE9QWY027,81%(含)-90%(含),2019年秋季,长袖,套头,常规,常规,宽松
https://item.taobao.com/item.htm?id=600610281555,RED小虫  初秋经典格纹长袖衬衫时尚宽松休闲撞色韩版上衣女,127,499.00 ,263,"https://img.alicdn.com/imgextra/i1/12375520/O1CN01LMXQbN1qeCq3xRIST_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN01lPaDZ41qeCq3FKAQm_!!12375520.jpg
https://img.alicdn.com/imgextra/i4/12375520/O1CN013h8Oov1qeCq2ojbox_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01eY5ajh1qeCq3xh8ir_!!12375520.jpg
https://img.alicdn.com/imgextra/i1/12375520/O1CN01i4szZV1qeCpsmJxRf_!!12375520.jpg",小虫,30-34周岁,S M L XL,粘纤,,街头,,,单排多扣,灰格纹 现货 红格纹 现货,衬衫袖,,TE9DCS001,51%(含)-70%(含),2019年秋季,长袖,,,常规款,
